Year,County Code,County Name,Cause Code,Selected Cause of Death,Deaths,Crude Rate,Adjusted Rate
2003,1,New York State,0,Total,155015,807.8,744.3
2003,1,New York State,1,Acquired Immune Deficiency Syndrome (AIDS),1901,9.9,9.6
2003,1,New York State,2,Malignant Neoplasms,36060,187.9,175.2
2003,1,New York State,3,Diabetes Mellitus,4234,22.1,20.5
2003,1,New York State,4,Diseases of the Heart,55255,287.9,261.0
2003,1,New York State,5,Cerebrovascular Disease,7219,37.6,34.1
2003,1,New York State,6,Pneumonia,5416,28.2,25.4
2003,1,New York State,7,Chronic Lower Respiratory Diseases (CLRD),6704,34.9,32.3
2003,1,New York State,8,Accidents (Total),4195,21.9,21.0
2003,1,New York State,9,All Other Causes,34031,177.3,165.2
2003,10,Allegany,0,Total,484,957.2,842.7
2003,10,Allegany,1,Acquired Immune Deficiency Syndrome (AIDS),1,2.0,2.5
2003,10,Allegany,2,Malignant Neoplasms,105,207.7,183.1
2003,10,Allegany,3,Diabetes Mellitus,19,37.6,32.7
2003,10,Allegany,4,Diseases of the Heart,151,298.6,257.7
2003,10,Allegany,5,Cerebrovascular Disease,23,45.5,38.8
2003,10,Allegany,6,Pneumonia,14,27.7,23.2
2003,10,Allegany,7,Chronic Lower Respiratory Diseases (CLRD),30,59.3,51.8
2003,10,Allegany,8,Accidents (Total),12,23.7,22.4
2003,10,Allegany,9,All Other Causes,129,255.1,230.6
2003,11,Broome,0,Total,2064,1035.0,764.8
2003,11,Broome,1,Acquired Immune Deficiency Syndrome (AIDS),4,2.0,2.1
2003,11,Broome,2,Malignant Neoplasms,433,217.2,168.0
2003,11,Broome,3,Diabetes Mellitus,66,33.1,25.4
2003,11,Broome,4,Diseases of the Heart,626,314.0,221.9
2003,11,Broome,5,Cerebrovascular Disease,154,77.2,53.2
2003,11,Broome,6,Pneumonia,50,25.1,18.3
2003,11,Broome,7,Chronic Lower Respiratory Diseases (CLRD),113,56.7,40.8
2003,11,Broome,8,Accidents (Total),63,31.6,27.1
2003,11,Broome,9,All Other Causes,555,278.4,208.0
2003,12,Cattaraugus,0,Total,838,1005.0,842.5
2003,12,Cattaraugus,1,Acquired Immune Deficiency Syndrome (AIDS),0,0.0,0.0
2003,12,Cattaraugus,2,Malignant Neoplasms,181,217.1,183.9
2003,12,Cattaraugus,3,Diabetes Mellitus,26,31.2,26.0
2003,12,Cattaraugus,4,Diseases of the Heart,296,355.1,290.5
2003,12,Cattaraugus,5,Cerebrovascular Disease,38,45.6,37.3
2003,12,Cattaraugus,6,Pneumonia,17,20.4,16.2
2003,12,Cattaraugus,7,Chronic Lower Respiratory Diseases (CLRD),62,74.4,61.4
2003,12,Cattaraugus,8,Accidents (Total),28,33.6,31.3
2003,12,Cattaraugus,9,All Other Causes,190,227.9,195.9
2003,13,Cayuga,0,Total,778,952.0,772.1
2003,13,Cayuga,1,Acquired Immune Deficiency Syndrome (AIDS),1,1.2,1.0
2003,13,Cayuga,2,Malignant Neoplasms,183,223.9,188.6
2003,13,Cayuga,3,Diabetes Mellitus,32,39.2,32.6
2003,13,Cayuga,4,Diseases of the Heart,254,310.8,243.6
2003,13,Cayuga,5,Cerebrovascular Disease,46,56.3,43.6
2003,13,Cayuga,6,Pneumonia,37,45.3,34.3
2003,13,Cayuga,7,Chronic Lower Respiratory Diseases (CLRD),48,58.7,47.1
2003,13,Cayuga,8,Accidents (Total),24,29.4,27.6
2003,13,Cayuga,9,All Other Causes,153,187.2,153.7
2003,14,Chautauqua,0,Total,1478,1074.0,833.4
2003,14,Chautauqua,1,Acquired Immune Deficiency Syndrome (AIDS),1,0.7,0.7
2003,14,Chautauqua,2,Malignant Neoplasms,343,249.2,201.1
2003,14,Chautauqua,3,Diabetes Mellitus,41,29.8,23.7
2003,14,Chautauqua,4,Diseases of the Heart,466,338.6,251.5
2003,14,Chautauqua,5,Cerebrovascular Disease,86,62.5,46.0
2003,14,Chautauqua,6,Pneumonia,40,29.1,21.4
2003,14,Chautauqua,7,Chronic Lower Respiratory Diseases (CLRD),92,66.8,51.0
2003,14,Chautauqua,8,Accidents (Total),51,37.1,32.9
2003,14,Chautauqua,9,All Other Causes,358,260.1,205.2
2003,15,Chemung,0,Total,939,1039.0,818.1
2003,15,Chemung,1,Acquired Immune Deficiency Syndrome (AIDS),1,1.1,1.2
2003,15,Chemung,2,Malignant Neoplasms,233,257.7,206.8
2003,15,Chemung,3,Diabetes Mellitus,30,33.2,26.3
2003,15,Chemung,4,Diseases of the Heart,256,283.1,216.0
2003,15,Chemung,5,Cerebrovascular Disease,57,63.0,48.0
2003,15,Chemung,6,Pneumonia,30,33.2,25.1
2003,15,Chemung,7,Chronic Lower Respiratory Diseases (CLRD),76,84.1,64.0
2003,15,Chemung,8,Accidents (Total),28,31.0,26.5
2003,15,Chemung,9,All Other Causes,228,252.2,204.2
2003,16,Chenango,0,Total,535,1036.0,841.9
2003,16,Chenango,1,Acquired Immune Deficiency Syndrome (AIDS),0,0.0,0.0
2003,16,Chenango,2,Malignant Neoplasms,125,242.0,197.2
2003,16,Chenango,3,Diabetes Mellitus,9,17.4,13.4
2003,16,Chenango,4,Diseases of the Heart,200,387.2,306.4
2003,16,Chenango,5,Cerebrovascular Disease,31,60.0,47.2
2003,16,Chenango,6,Pneumonia,18,34.8,26.3
2003,16,Chenango,7,Chronic Lower Respiratory Diseases (CLRD),25,48.4,38.8
2003,16,Chenango,8,Accidents (Total),21,40.7,40.1
2003,16,Chenango,9,All Other Causes,106,205.2,172.6
2003,17,Clinton,0,Total,648,796.4,811.6
2003,17,Clinton,1,Acquired Immune Deficiency Syndrome (AIDS),1,1.2,1.1
2003,17,Clinton,2,Malignant Neoplasms,145,178.2,176.3
2003,17,Clinton,3,Diabetes Mellitus,22,27.0,27.1
2003,17,Clinton,4,Diseases of the Heart,208,255.6,263.3
2003,17,Clinton,5,Cerebrovascular Disease,37,45.5,47.7
2003,17,Clinton,6,Pneumonia,8,9.8,10.5
2003,17,Clinton,7,Chronic Lower Respiratory Diseases (CLRD),42,51.6,52.8
2003,17,Clinton,8,Accidents (Total),30,36.9,35.9
2003,17,Clinton,9,All Other Causes,155,190.5,196.9
2003,18,Columbia,0,Total,658,1038.0,778.6
2003,18,Columbia,1,Acquired Immune Deficiency Syndrome (AIDS),0,0.0,0.0
