Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Hispanic
2003,0,Total,0,Total,5,Hispanic,1,New York State,3132186
2003,0,Total,0,Total,5,Hispanic,2,New York City,2280008
2003,0,Total,0,Total,5,Hispanic,3,Bronx,699307
2003,0,Total,0,Total,5,Hispanic,4,Kings,503095
2003,0,Total,0,Total,5,Hispanic,5,New York,428257
2003,0,Total,0,Total,5,Hispanic,6,Queens,583547
2003,0,Total,0,Total,5,Hispanic,7,Richmond,65802
2003,0,Total,0,Total,5,Hispanic,8,Rest of State,852178
2003,0,Total,0,Total,5,Hispanic,9,Albany,11171
2003,0,Total,0,Total,5,Hispanic,10,Allegany,592
2003,0,Total,0,Total,5,Hispanic,11,Broome,4802
2003,0,Total,0,Total,5,Hispanic,12,Cattaraugus,1104
2003,0,Total,0,Total,5,Hispanic,13,Cayuga,1856
2003,0,Total,0,Total,5,Hispanic,14,Chautauqua,6848
2003,0,Total,0,Total,5,Hispanic,15,Chemung,2008
2003,0,Total,0,Total,5,Hispanic,16,Chenango,883
2003,0,Total,0,Total,5,Hispanic,17,Clinton,2276
2003,0,Total,0,Total,5,Hispanic,18,Columbia,1999
2003,0,Total,0,Total,5,Hispanic,19,Cortland,739
2003,0,Total,0,Total,5,Hispanic,20,Delaware,1198
2003,0,Total,0,Total,5,Hispanic,21,Dutchess,22880
2003,0,Total,0,Total,5,Hispanic,22,Erie,35187
2003,0,Total,0,Total,5,Hispanic,23,Essex,971
2003,0,Total,0,Total,5,Hispanic,24,Franklin,2082
2003,0,Total,0,Total,5,Hispanic,25,Fulton,1067
2003,0,Total,0,Total,5,Hispanic,26,Genesee,1180
2003,0,Total,0,Total,5,Hispanic,27,Greene,2367
2003,0,Total,0,Total,5,Hispanic,28,Hamilton,59
2003,0,Total,0,Total,5,Hispanic,29,Herkimer,718
2003,0,Total,0,Total,5,Hispanic,30,Jefferson,8359
2003,0,Total,0,Total,5,Hispanic,31,Lewis,275
2003,0,Total,0,Total,5,Hispanic,32,Livingston,1692
2003,0,Total,0,Total,5,Hispanic,33,Madison,970
2003,0,Total,0,Total,5,Hispanic,34,Monroe,44580
2003,0,Total,0,Total,5,Hispanic,35,Montgomery,4370
2003,0,Total,0,Total,5,Hispanic,36,Nassau,156110
2003,0,Total,0,Total,5,Hispanic,37,Niagara,3715
2003,0,Total,0,Total,5,Hispanic,38,Oneida,8994
2003,0,Total,0,Total,5,Hispanic,39,Onondaga,13793
2003,0,Total,0,Total,5,Hispanic,40,Ontario,2861
2003,0,Total,0,Total,5,Hispanic,41,Orange,52504
2003,0,Total,0,Total,5,Hispanic,42,Orleans,1713
2003,0,Total,0,Total,5,Hispanic,43,Oswego,1984
2003,0,Total,0,Total,5,Hispanic,44,Otsego,1358
2003,0,Total,0,Total,5,Hispanic,45,Putnam,8462
2003,0,Total,0,Total,5,Hispanic,46,Rensselaer,4141
2003,0,Total,0,Total,5,Hispanic,47,Rockland,35233
2003,0,Total,0,Total,5,Hispanic,48,St Lawrence,2437
2003,0,Total,0,Total,5,Hispanic,49,Saratoga,4514
2003,0,Total,0,Total,5,Hispanic,50,Schenectady,5880
2003,0,Total,0,Total,5,Hispanic,51,Schoharie,698
2003,0,Total,0,Total,5,Hispanic,52,Schuyler,281
2003,0,Total,0,Total,5,Hispanic,53,Seneca,1134
2003,0,Total,0,Total,5,Hispanic,54,Steuben,1213
2003,0,Total,0,Total,5,Hispanic,55,Suffolk,183182
2003,0,Total,0,Total,5,Hispanic,56,Sullivan,7853
2003,0,Total,0,Total,5,Hispanic,57,Tioga,723
2003,0,Total,0,Total,5,Hispanic,58,Tompkins,3679
2003,0,Total,0,Total,5,Hispanic,59,Ulster,12619
2003,0,Total,0,Total,5,Hispanic,60,Warren,971
2003,0,Total,0,Total,5,Hispanic,61,Washington,1432
2003,0,Total,0,Total,5,Hispanic,62,Wayne,2807
2003,0,Total,0,Total,5,Hispanic,63,Westchester,168054
2003,0,Total,0,Total,5,Hispanic,64,Wyoming,1279
2003,0,Total,0,Total,5,Hispanic,65,Yates,321
2004,0,Total,0,Total,5,Hispanic,1,New York State,3076697
2004,0,Total,0,Total,5,Hispanic,2,New York City,2252000
2004,0,Total,0,Total,5,Hispanic,3,Bronx,696411
2004,0,Total,0,Total,5,Hispanic,4,Kings,493608
2004,0,Total,0,Total,5,Hispanic,5,New York,416572
2004,0,Total,0,Total,5,Hispanic,6,Queens,579775
2004,0,Total,0,Total,5,Hispanic,7,Richmond,65634
2004,0,Total,0,Total,5,Hispanic,8,Rest of State,824697
2004,0,Total,0,Total,5,Hispanic,9,Albany,10223
2004,0,Total,0,Total,5,Hispanic,10,Allegany,554
2004,0,Total,0,Total,5,Hispanic,11,Broome,4419
2004,0,Total,0,Total,5,Hispanic,12,Cattaraugus,948
2004,0,Total,0,Total,5,Hispanic,13,Cayuga,1847
2004,0,Total,0,Total,5,Hispanic,14,Chautauqua,6343
2004,0,Total,0,Total,5,Hispanic,15,Chemung,1795
2004,0,Total,0,Total,5,Hispanic,16,Chenango,783
2004,0,Total,0,Total,5,Hispanic,17,Clinton,2216
2004,0,Total,0,Total,5,Hispanic,18,Columbia,1900
2004,0,Total,0,Total,5,Hispanic,19,Cortland,683
2004,0,Total,0,Total,5,Hispanic,20,Delaware,1163
2004,0,Total,0,Total,5,Hispanic,21,Dutchess,22681
2004,0,Total,0,Total,5,Hispanic,22,Erie,32628
2004,0,Total,0,Total,5,Hispanic,23,Essex,924
2004,0,Total,0,Total,5,Hispanic,24,Franklin,2021
2004,0,Total,0,Total,5,Hispanic,25,Fulton,978
2004,0,Total,0,Total,5,Hispanic,26,Genesee,1092
2004,0,Total,0,Total,5,Hispanic,27,Greene,2382
2004,0,Total,0,Total,5,Hispanic,28,Hamilton,61
2004,0,Total,0,Total,5,Hispanic,29,Herkimer,741
2004,0,Total,0,Total,5,Hispanic,30,Jefferson,4283
2004,0,Total,0,Total,5,Hispanic,31,Lewis,205
2004,0,Total,0,Total,5,Hispanic,32,Livingston,1566
2004,0,Total,0,Total,5,Hispanic,33,Madison,813
2004,0,Total,0,Total,5,Hispanic,34,Monroe,41353
2004,0,Total,0,Total,5,Hispanic,35,Montgomery,3900
