Tax Year,Place of Residence,Average NY AGI of All Returns,Average Tax of All Returns,Average NY AGI of Taxable Returns,Average Tax of Taxable Returns,Average NY AGI of Nontaxable Returns,County Sort Order
2011,New York City - Bronx,29942,737,49095,1997,10063,1
2011,New York City - Kings,44640,1845,69639,3521,8685,2
2011,New York City - Manhattan,159697,11701,230019,16595,-13802,3
2011,New York City - Queens,40108,1471,59817,2701,9290,4
2011,New York City - Richmond,55928,2419,78059,3678,6921,5
2011,"Total, New York City",66766,3746,105248,6406,5384,6
2011,Albany,54574,2620,74971,3922,7420,7
2011,Allegany,36479,1157,53316,2164,9845,8
2011,Broome,41132,1546,59123,2713,7900,9
2011,Cattaraugus,35669,1133,51931,2119,9225,10
2011,Cayuga,40591,1480,56469,2481,9240,11
2011,Chautauqua,35757,1131,52273,2134,9498,12
2011,Chemung,43218,1668,61812,2838,9834,13
2011,Chenango,35401,1137,50933,2082,9145,14
2011,Clinton,40272,1504,56233,2437,8231,15
2011,Columbia,46936,2151,71005,3427,-93,16
2011,Cortland,39263,1349,54102,2298,9870,17
2011,Delaware,35699,1217,54311,2273,7503,18
2011,Dutchess,60326,2809,81308,4039,6854,19
2011,Erie,48310,2140,66886,3326,8345,20
2011,Essex,38495,1477,57440,2523,5124,21
2011,Franklin,35251,1167,51961,2178,7805,22
2011,Fulton,36438,1192,51583,2138,9758,23
2011,Genesee,45014,1917,62337,3025,8450,24
2011,Greene,45519,2016,65758,3227,6712,25
2011,Hamilton,35881,1358,55548,2397,5925,26
2011,Herkimer,35824,1143,50288,2035,9302,27
2011,Jefferson,38279,1358,54899,2382,8286,28
2011,Lewis,37548,1185,52447,2131,10424,29
2011,Livingston,42379,1580,57819,2516,9179,30
2011,Madison,45528,1854,63092,2950,7669,31
2011,Monroe,49661,2178,68911,3408,8697,32
2011,Montgomery,37227,1238,53299,2258,9472,33
2011,Nassau,87297,5131,122196,7245,-2170,34
2011,Niagara,41317,1632,57600,2614,7886,35
2011,Oneida,40250,1509,57766,2607,8910,36
2011,Onondaga,49977,2137,68889,3382,9168,37
