,Year,County,Average NY AGI,Crime Total,Violent Crime Total,Deaths,Crude Rate,Adjusted Rate,Suicide Deaths,Population,Percentage Deaths by Suicide,"Suicide Rate Per 100,000",Population Total,Population Black Non Hispanic,Population Hispanic,Population Other Non Hispanic,Population White Non Hispanic,Population Male,Population Female
0,2011,Bronx,29942,35130,12267,8906,639.8,699.8,86,1392002,0.009700,6.2,1392002,426362,748438,58360,158842,655357,736645
1,2011,Kings,44640,59014,18182,15824,624.8,630.5,118,2532645,0.007500,4.7,2532645,822327,506553,287132,916633,1197281,1335364
2,2011,Queens,40108,39863,10311,13682,608.7,546,138,2247848,0.010100,6.1,2247848,421731,625016,566153,634948,1090105,1157743
3,2011,Richmond,55928,6801,1428,3198,679.8,624.6,23,470467,0.007200,4.9,470467,47255,82617,38023,302572,228021,242446
4,2011,Albany,54574,10725,1163,2697,888.4,711.5,27,303565,0.010000,8.9,303565,38977,15691,16665,232232,146872,156693
5,2011,Allegany,36479,895,64,485,994.3,788.1,5,48778,0.010300,10.3,48778,715,703,663,46697,24621,24157
6,2011,Broome,41132,6643,521,2108,1059,738,37,199031,0.017600,18.6,199031,10363,6971,8038,173659,97514,101517
7,2011,Cattaraugus,35669,1925,162,800,1002,781.1,11,79832,0.013800,13.8,79832,1420,1427,3202,73783,39422,40410
8,2011,Cayuga,40591,1717,182,739,926.8,699,10,79738,0.013500,12.5,79738,3606,2006,838,73288,40679,39059
9,2011,Chautauqua,35757,3687,303,1491,1110,777.3,13,134368,0.008700,9.7,134368,3567,8463,1547,120791,66298,68070
10,2011,Chemung,43218,2278,177,937,1055,774.6,12,88840,0.012800,13.5,88840,6532,2399,1531,78378,44216,44624
11,2011,Chenango,35401,1072,57,500,997.6,721.7,3,50118,0.006000,6,50118,565,940,448,48165,24969,25149
12,2011,Clinton,40272,1690,74,686,837.1,756.2,5,81945,0.007300,6.1,81945,3313,2125,1368,75139,42062,39883
13,2011,Columbia,46936,1234,96,667,1066,711.9,7,62550,0.010500,11.2,62550,3184,2531,1284,55551,31427,31123
14,2011,Cortland,39263,1104,74,429,869.1,768,4,49363,0.009300,8.1,49363,1041,1199,687,46436,24117,25246
15,2011,Delaware,35699,813,76,515,1083,698.8,7,47559,0.013600,14.7,47559,932,1601,568,44458,23906,23653
16,2011,Dutchess,60326,5677,625,2352,789.3,669.8,25,297999,0.010600,8.4,297999,29830,32136,12126,223907,148332,149667
17,2011,Erie,48310,31411,4201,9576,1043,767.2,108,918028,0.011300,11.8,918028,124894,43364,31660,718110,443070,474958
18,2011,Essex,38495,617,47,329,839.7,572.6,10,39181,0.030400,25.5,39181,1132,1036,433,36580,20323,18858
19,2011,Franklin,35251,973,61,497,964.1,847.8,6,51551,0.012100,11.6,51551,3082,1572,4133,42764,28315,23236
20,2011,Fulton,36438,1605,61,614,1113,792.2,5,55180,0.008100,9.1,55180,1215,1334,510,52121,27245,27935
21,2011,Genesee,45014,1439,112,608,1013,756.9,8,59993,0.013200,13.3,59993,1894,1713,1180,55206,29811,30182
22,2011,Greene,45519,830,105,508,1038,763.8,3,48954,0.005900,6.1,48954,2964,2483,652,42855,25547,23407
23,2011,Hamilton,35881,58,1,56,1168,705.5,0,4793,0.000000,0,4793,57,58,39,4639,2417,2376
24,2011,Herkimer,35824,1362,141,632,985,685.9,7,64160,0.011100,10.9,64160,885,1094,571,61610,31485,32675
25,2011,Jefferson,38279,2481,182,893,757.4,780.9,16,117910,0.017900,13.6,117910,7089,7199,2849,100773,60338,57572
26,2011,Lewis,37548,419,33,233,860.7,684,0,27072,0.000000,0,27072,280,377,159,26256,13672,13400
27,2011,Livingston,42379,1074,44,547,840.6,694.4,11,65070,0.020100,16.9,65070,1812,1913,1145,60200,32635,32435
28,2011,Madison,45528,1282,53,580,790.6,680.8,14,73365,0.024100,19.1,73365,1606,1462,1225,69072,35965,37400
29,2011,Monroe,49661,25666,2661,6516,873.9,696.2,80,745625,0.012300,10.7,745625,113018,55805,28402,548400,359892,385733
