Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Other Non Hispanic
2003,0,Total,0,Total,3,Other Non Hispanic,1,New York State,1337294
2003,0,Total,0,Total,3,Other Non Hispanic,2,New York City,959316
2003,0,Total,0,Total,3,Other Non Hispanic,3,Bronx,50183
2003,0,Total,0,Total,3,Other Non Hispanic,4,Kings,225148
2003,0,Total,0,Total,3,Other Non Hispanic,5,New York,170065
2003,0,Total,0,Total,3,Other Non Hispanic,6,Queens,481353
2003,0,Total,0,Total,3,Other Non Hispanic,7,Richmond,32567
2003,0,Total,0,Total,3,Other Non Hispanic,8,Rest of State,377978
2003,0,Total,0,Total,3,Other Non Hispanic,9,Albany,11952
2003,0,Total,0,Total,3,Other Non Hispanic,10,Allegany,607
2003,0,Total,0,Total,3,Other Non Hispanic,11,Broome,7091
2003,0,Total,0,Total,3,Other Non Hispanic,12,Cattaraugus,2623
2003,0,Total,0,Total,3,Other Non Hispanic,13,Cayuga,642
2003,0,Total,0,Total,3,Other Non Hispanic,14,Chautauqua,1398
2003,0,Total,0,Total,3,Other Non Hispanic,15,Chemung,1188
2003,0,Total,0,Total,3,Other Non Hispanic,16,Chenango,329
2003,0,Total,0,Total,3,Other Non Hispanic,17,Clinton,995
2003,0,Total,0,Total,3,Other Non Hispanic,18,Columbia,853
2003,0,Total,0,Total,3,Other Non Hispanic,19,Cortland,426
2003,0,Total,0,Total,3,Other Non Hispanic,20,Delaware,472
2003,0,Total,0,Total,3,Other Non Hispanic,21,Dutchess,10336
2003,0,Total,0,Total,3,Other Non Hispanic,22,Erie,23316
2003,0,Total,0,Total,3,Other Non Hispanic,23,Essex,323
2003,0,Total,0,Total,3,Other Non Hispanic,24,Franklin,3164
2003,0,Total,0,Total,3,Other Non Hispanic,25,Fulton,542
2003,0,Total,0,Total,3,Other Non Hispanic,26,Genesee,835
2003,0,Total,0,Total,3,Other Non Hispanic,27,Greene,485
2003,0,Total,0,Total,3,Other Non Hispanic,28,Hamilton,15
2003,0,Total,0,Total,3,Other Non Hispanic,29,Herkimer,507
2003,0,Total,0,Total,3,Other Non Hispanic,30,Jefferson,1961
2003,0,Total,0,Total,3,Other Non Hispanic,31,Lewis,137
2003,0,Total,0,Total,3,Other Non Hispanic,32,Livingston,835
2003,0,Total,0,Total,3,Other Non Hispanic,33,Madison,872
2003,0,Total,0,Total,3,Other Non Hispanic,34,Monroe,23872
2003,0,Total,0,Total,3,Other Non Hispanic,35,Montgomery,442
2003,0,Total,0,Total,3,Other Non Hispanic,36,Nassau,85181
2003,0,Total,0,Total,3,Other Non Hispanic,37,Niagara,3975
2003,0,Total,0,Total,3,Other Non Hispanic,38,Oneida,4165
2003,0,Total,0,Total,3,Other Non Hispanic,39,Onondaga,16261
2003,0,Total,0,Total,3,Other Non Hispanic,40,Ontario,1186
2003,0,Total,0,Total,3,Other Non Hispanic,41,Orange,8710
2003,0,Total,0,Total,3,Other Non Hispanic,42,Orleans,379
2003,0,Total,0,Total,3,Other Non Hispanic,43,Oswego,1158
2003,0,Total,0,Total,3,Other Non Hispanic,44,Otsego,636
2003,0,Total,0,Total,3,Other Non Hispanic,45,Putnam,1790
2003,0,Total,0,Total,3,Other Non Hispanic,46,Rensselaer,3785
2003,0,Total,0,Total,3,Other Non Hispanic,47,Rockland,20109
2003,0,Total,0,Total,3,Other Non Hispanic,48,St Lawrence,1957
2003,0,Total,0,Total,3,Other Non Hispanic,49,Saratoga,3763
2003,0,Total,0,Total,3,Other Non Hispanic,50,Schenectady,4719
2003,0,Total,0,Total,3,Other Non Hispanic,51,Schoharie,236
2003,0,Total,0,Total,3,Other Non Hispanic,52,Schuyler,143
2003,0,Total,0,Total,3,Other Non Hispanic,53,Seneca,329
2003,0,Total,0,Total,3,Other Non Hispanic,54,Steuben,1548
2003,0,Total,0,Total,3,Other Non Hispanic,55,Suffolk,51367
2003,0,Total,0,Total,3,Other Non Hispanic,56,Sullivan,1254
2003,0,Total,0,Total,3,Other Non Hispanic,57,Tioga,502
2003,0,Total,0,Total,3,Other Non Hispanic,58,Tompkins,9832
2003,0,Total,0,Total,3,Other Non Hispanic,59,Ulster,3257
2003,0,Total,0,Total,3,Other Non Hispanic,60,Warren,561
2003,0,Total,0,Total,3,Other Non Hispanic,61,Washington,336
2003,0,Total,0,Total,3,Other Non Hispanic,62,Wayne,872
2003,0,Total,0,Total,3,Other Non Hispanic,63,Westchester,53357
2003,0,Total,0,Total,3,Other Non Hispanic,64,Wyoming,300
2003,0,Total,0,Total,3,Other Non Hispanic,65,Yates,92
2004,0,Total,0,Total,3,Other Non Hispanic,1,New York State,1346125
2004,0,Total,0,Total,3,Other Non Hispanic,2,New York City,967009
2004,0,Total,0,Total,3,Other Non Hispanic,3,Bronx,51099
2004,0,Total,0,Total,3,Other Non Hispanic,4,Kings,227452
2004,0,Total,0,Total,3,Other Non Hispanic,5,New York,169096
2004,0,Total,0,Total,3,Other Non Hispanic,6,Queens,485873
2004,0,Total,0,Total,3,Other Non Hispanic,7,Richmond,33489
2004,0,Total,0,Total,3,Other Non Hispanic,8,Rest of State,379116
2004,0,Total,0,Total,3,Other Non Hispanic,9,Albany,11688
2004,0,Total,0,Total,3,Other Non Hispanic,10,Allegany,593
