Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population Male
2003,0,Total,1,Male,0,Total,1,New York State,9276425
2003,0,Total,1,Male,0,Total,2,New York City,3843576
2003,0,Total,1,Male,0,Total,3,Bronx,637719
2003,0,Total,1,Male,0,Total,4,Kings,1162696
2003,0,Total,1,Male,0,Total,5,New York,745267
2003,0,Total,1,Male,0,Total,6,Queens,1074998
2003,0,Total,1,Male,0,Total,7,Richmond,222896
2003,0,Total,1,Male,0,Total,8,Rest of State,5432849
2003,0,Total,1,Male,0,Total,9,Albany,142992
2003,0,Total,1,Male,0,Total,10,Allegany,25265
2003,0,Total,1,Male,0,Total,11,Broome,96401
2003,0,Total,1,Male,0,Total,12,Cattaraugus,40898
2003,0,Total,1,Male,0,Total,13,Cayuga,41211
2003,0,Total,1,Male,0,Total,14,Chautauqua,67185
2003,0,Total,1,Male,0,Total,15,Chemung,44635
2003,0,Total,1,Male,0,Total,16,Chenango,25488
2003,0,Total,1,Male,0,Total,17,Clinton,41573
2003,0,Total,1,Male,0,Total,18,Columbia,31602
2003,0,Total,1,Male,0,Total,19,Cortland,23544
2003,0,Total,1,Male,0,Total,20,Delaware,23296
2003,0,Total,1,Male,0,Total,21,Dutchess,145334
2003,0,Total,1,Male,0,Total,22,Erie,451447
2003,0,Total,1,Male,0,Total,23,Essex,20240
2003,0,Total,1,Male,0,Total,24,Franklin,27919
2003,0,Total,1,Male,0,Total,25,Fulton,27134
2003,0,Total,1,Male,0,Total,26,Genesee,29466
2003,0,Total,1,Male,0,Total,27,Greene,25171
2003,0,Total,1,Male,0,Total,28,Hamilton,2613
2003,0,Total,1,Male,0,Total,29,Herkimer,30940
2003,0,Total,1,Male,0,Total,30,Jefferson,59567
2003,0,Total,1,Male,0,Total,31,Lewis,13218
2003,0,Total,1,Male,0,Total,32,Livingston,32349
2003,0,Total,1,Male,0,Total,33,Madison,34428
2003,0,Total,1,Male,0,Total,34,Monroe,355813
2003,0,Total,1,Male,0,Total,35,Montgomery,23720
2003,0,Total,1,Male,0,Total,36,Nassau,647084
2003,0,Total,1,Male,0,Total,37,Niagara,105498
2003,0,Total,1,Male,0,Total,38,Oneida,116695
2003,0,Total,1,Male,0,Total,39,Onondaga,220806
2003,0,Total,1,Male,0,Total,40,Ontario,50123
2003,0,Total,1,Male,0,Total,41,Orange,182195
2003,0,Total,1,Male,0,Total,42,Orleans,21655
2003,0,Total,1,Male,0,Total,43,Oswego,61027
2003,0,Total,1,Male,0,Total,44,Otsego,30021
2003,0,Total,1,Male,0,Total,45,Putnam,49838
2003,0,Total,1,Male,0,Total,46,Rensselaer,75754
2003,0,Total,1,Male,0,Total,47,Rockland,143653
2003,0,Total,1,Male,0,Total,48,St Lawrence,56638
2003,0,Total,1,Male,0,Total,49,Saratoga,103526
2003,0,Total,1,Male,0,Total,50,Schenectady,71022
2003,0,Total,1,Male,0,Total,51,Schoharie,15768
2003,0,Total,1,Male,0,Total,52,Schuyler,9743
2003,0,Total,1,Male,0,Total,53,Seneca,18269
2003,0,Total,1,Male,0,Total,54,Steuben,48488
2003,0,Total,1,Male,0,Total,55,Suffolk,720846
2003,0,Total,1,Male,0,Total,56,Sullivan,38008
2003,0,Total,1,Male,0,Total,57,Tioga,25608
2003,0,Total,1,Male,0,Total,58,Tompkins,50420
2003,0,Total,1,Male,0,Total,59,Ulster,90016
2003,0,Total,1,Male,0,Total,60,Warren,31445
2003,0,Total,1,Male,0,Total,61,Washington,31844
2003,0,Total,1,Male,0,Total,62,Wayne,46204
2003,0,Total,1,Male,0,Total,63,Westchester,451967
2003,0,Total,1,Male,0,Total,64,Wyoming,23207
2003,0,Total,1,Male,0,Total,65,Yates,12032
2004,0,Total,1,Male,0,Total,1,New York State,9304581
2004,0,Total,1,Male,0,Total,2,New York City,3855398
2004,0,Total,1,Male,0,Total,3,Bronx,639736
2004,0,Total,1,Male,0,Total,4,Kings,1164943
2004,0,Total,1,Male,0,Total,5,New York,743188
2004,0,Total,1,Male,0,Total,6,Queens,1082538
2004,0,Total,1,Male,0,Total,7,Richmond,224993
2004,0,Total,1,Male,0,Total,8,Rest of State,5449183
2004,0,Total,1,Male,0,Total,9,Albany,143349
