Year,Age Group Code,Age Group Description,Gender Code,Gender Description,Race Ethnicity Code,Race/Ethnicity Description,County Code,County,Population White Non Hispanic
2003,0,Total,0,Total,1,White Non Hispanic,1,New York State,11696047
2003,0,Total,0,Total,1,White Non Hispanic,2,New York City,2796290
2003,0,Total,0,Total,1,White Non Hispanic,3,Bronx,179554
2003,0,Total,0,Total,1,White Non Hispanic,4,Kings,861512
2003,0,Total,0,Total,1,White Non Hispanic,5,New York,728961
2003,0,Total,0,Total,1,White Non Hispanic,6,Queens,710467
2003,0,Total,0,Total,1,White Non Hispanic,7,Richmond,315796
2003,0,Total,0,Total,1,White Non Hispanic,8,Rest of State,8899757
2003,0,Total,0,Total,1,White Non Hispanic,9,Albany,238517
2003,0,Total,0,Total,1,White Non Hispanic,10,Allegany,48842
2003,0,Total,0,Total,1,White Non Hispanic,11,Broome,179153
2003,0,Total,0,Total,1,White Non Hispanic,12,Cattaraugus,78526
2003,0,Total,0,Total,1,White Non Hispanic,13,Cayuga,75795
2003,0,Total,0,Total,1,White Non Hispanic,14,Chautauqua,126118
2003,0,Total,0,Total,1,White Non Hispanic,15,Chemung,81225
2003,0,Total,0,Total,1,White Non Hispanic,16,Chenango,49885
2003,0,Total,0,Total,1,White Non Hispanic,17,Clinton,75262
2003,0,Total,0,Total,1,White Non Hispanic,18,Columbia,57446
2003,0,Total,0,Total,1,White Non Hispanic,19,Cortland,46809
2003,0,Total,0,Total,1,White Non Hispanic,20,Delaware,44707
2003,0,Total,0,Total,1,White Non Hispanic,21,Dutchess,228588
2003,0,Total,0,Total,1,White Non Hispanic,22,Erie,753734
2003,0,Total,0,Total,1,White Non Hispanic,23,Essex,36490
2003,0,Total,0,Total,1,White Non Hispanic,24,Franklin,42487
2003,0,Total,0,Total,1,White Non Hispanic,25,Fulton,52397
2003,0,Total,0,Total,1,White Non Hispanic,26,Genesee,56496
2003,0,Total,0,Total,1,White Non Hispanic,27,Greene,43240
2003,0,Total,0,Total,1,White Non Hispanic,28,Hamilton,5140
2003,0,Total,0,Total,1,White Non Hispanic,29,Herkimer,62019
2003,0,Total,0,Total,1,White Non Hispanic,30,Jefferson,93496
2003,0,Total,0,Total,1,White Non Hispanic,31,Lewis,25964
2003,0,Total,0,Total,1,White Non Hispanic,32,Livingston,60200
2003,0,Total,0,Total,1,White Non Hispanic,33,Madison,67295
2003,0,Total,0,Total,1,White Non Hispanic,34,Monroe,559910
2003,0,Total,0,Total,1,White Non Hispanic,35,Montgomery,43809
2003,0,Total,0,Total,1,White Non Hispanic,36,Nassau,948603
2003,0,Total,0,Total,1,White Non Hispanic,37,Niagara,195339
2003,0,Total,0,Total,1,White Non Hispanic,38,Oneida,206966
2003,0,Total,0,Total,1,White Non Hispanic,39,Onondaga,381981
2003,0,Total,0,Total,1,White Non Hispanic,40,Ontario,96023
2003,0,Total,0,Total,1,White Non Hispanic,41,Orange,268104
2003,0,Total,0,Total,1,White Non Hispanic,42,Orleans,38532
2003,0,Total,0,Total,1,White Non Hispanic,43,Oswego,119487
2003,0,Total,0,Total,1,White Non Hispanic,44,Otsego,59031
2003,0,Total,0,Total,1,White Non Hispanic,45,Putnam,87318
2003,0,Total,0,Total,1,White Non Hispanic,46,Rensselaer,137436
2003,0,Total,0,Total,1,White Non Hispanic,47,Rockland,202645
